Unique Key Code,Country,Supplier Code,Supplier Name,Parent Company,VBS Code,VBS Description,GPO Category,Category,Main Category,ACT/LE Spend $ Jan,ACT/LE Spend $ Feb,ACT/LE Spend $ Mar,ACT/LE Spend $ Apr,ACT/LE Spend $ May,ACT/LE Spend $ Jun,ACT/LE Spend $ Jul,ACT/LE Spend $ Aug,ACT/LE Spend $ Sep,ACT/LE Spend $ Oct,ACT/LE Spend $ Nov,ACT/LE Spend $ Dec,ACT/LE Spend $ FY,ACT/LE WAPT Jan,ACT/LE WAPT Feb,ACT/LE WAPT Mar,ACT/LE WAPT Apr,ACT/LE WAPT May,ACT/LE WAPT Jun,ACT/LE WAPT Jul,ACT/LE WAPT Aug,ACT/LE WAPT Sep,ACT/LE WAPT Oct,ACT/LE WAPT Nov,ACT/LE WAPT Dec,Budget WAPT Jan Round 1,Budget WAPT Feb Round 1,Budget WAPT Mar Round 1,Budget WAPT Apr Round 1,Budget WAPT May Round 1,Budget WAPT Jun Round 1,Budget WAPT Jul Round 1,Budget WAPT Aug Round 1,Budget WAPT Sep Round 1,Budget WAPT Oct Round 1,Budget WAPT Nov Round 1,Budget WAPT Dec Round 1,Final BU Spend Jan Round 1,Final BU Spend Feb Round 1,Final BU Spend Mar Round 1,Final BU Spend Apr Round 1,Final BU Spend May Round 1,Final BU Spend Jun Round 1,Final BU Spend Jul Round 1,Final BU Spend Aug Round 1,Final BU Spend Sep Round 1,Final BU Spend Oct Round 1,Final BU Spend Nov Round 1,Final BU Spend Dec Round 1
Brazil315065_S4,Brazil,315065,JD ACO FORTE SERRALHEIRIA E,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,13142,5193,14331,16499,22219,2152,5388.01782,4545.8683,4499.1083,4821.06,3939.93,6485.95,103215.9344,44.78851089,44.69521379,45,44.29771574,43.81676911,21.88243397,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,13142,5193,14331,16499,22219,2152,5388.01782,4545.8683,4499.1083,4821.06,3939.93,6485.95
Brazil329179_S4,Brazil,329179,ATIVOS SERVICOS E LOCACOES LTDA.,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,8879.71,8229.7,8141.45,9028.47,7365.65,12170.35,53815.33,45,45,45,45,45,45,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,0,0,0,0,0,0,8879.71,8229.7,8141.45,9028.47,7365.65,12170.35
Brazil333323_S4,Brazil,333323,CRISLAINE CAMARGO LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,1853.52782,1272.4183,1261.0883,1226.83,1013.46,1629.99,8257.31442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,1853.52782,1272.4183,1261.0883,1226.83,1013.46,1629.99
Brazil333859_S4,Brazil,333859,EXTINSEG EQUIPAMENTOS DE SEGURANCA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,1174.56782,643.5982998,639.0782998,536.39,451.3,697.18,4142.11442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,1174.56782,643.5982998,639.0782998,536.39,451.3,697.18
Brazil310764_S4,Brazil,310764,GUARATECH SERVICOS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,1751.36782,1177.7983,1167.4983,1122.94,928.87,1489.64,7638.11442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,1751.36782,1177.7983,1167.4983,1122.94,928.87,1489.64
Brazil295179_S4,Brazil,295179,ACEPIL COMERCIAL E IMPORTADORA LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,651.3078197,153.1882998,153.1282998,5.61,4.57,7.58,975.3844193,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,651.3078197,153.1882998,153.1282998,5.61,4.57,7.58
Brazil333930_S4,Brazil,333930,SANTA JULIANA TINTAS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,433.65,401.62,397.27,440.98,359.05,595.78,2628.35,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,0,0,0,0,0,0,433.65,401.62,397.27,440.98,359.05,595.78
Brazil333482_S4,Brazil,333482,SCHEFFER SISTEMAS DE ARMAZENAGEM,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,24363.42782,22119.8783,21882.8583,24117.19,19651.07,32555.88,144690.3044,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,24363.42782,22119.8783,21882.8583,24117.19,19651.07,32555.88
Brazil239434_S4,Brazil,239434,NETBOX INSTALACOES E SERVICOS DE,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,2197,1433,0,0,11382,0,479.6,444.18,439.37,487.7,397.09,658.91,17918.85,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,2197,1433,0,0,11382,0,479.6,444.18,439.37,487.7,397.09,658.91
Brazil313709_S4,Brazil,313709,SOLUTIO ENGENHARIA E,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,6994,34929,5345,140837,107628,129613,25536.16,23650.22,23394.18,25967.77,21143.27,35083.6,580121.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,6994,34929,5345,140837,107628,129613,25536.16,23650.22,23394.18,25967.77,21143.27,35083.6
